original.names,new.name,description,original.features,design.logical,design.logical.statistical,modification.IDs,associated.modification.IDs.without.resulting.action,known.remaining.dependencies.after.statistical.treatment,networks.of.dependencies,recode.operation.type,condition.human.readable,condition.if.feature.conditioned,recode.operation.Rcode,original.states,new.states,recode.pattern,grouping
GB020,GB020,Are there definite or specific articles?,TRUE,FALSE,FALSE,L-ART-2,L-ART-1,,,include without modification,none,,,,,,NA
GB020,GB020c,"Are there definite or specific articles, if there are articles at all?",FALSE,TRUE,TRUE,L-ART-2,S-ART-1,,,recode group 5 (simple conditioning),if articles present,GB550m == 1,,,,,Grammatical_categories
GB021,GB021,Do indefinite nominals commonly have indefinite articles?,TRUE,FALSE,FALSE,L-ART-3,L-ART-1,,,include without modification,none,,,,,,NA
GB021,GB021c,"Do indefinite nominals commonly have indefinite articles, if there are articles at all?",FALSE,TRUE,TRUE,L-ART-3,S-ART-1,,,recode group 5 (simple conditioning),if articles present,GB550m == 1,,,,,Grammatical_categories
GB022,GB022,Are there prenominal articles?,TRUE,FALSE,FALSE,L-ART-4,L-ART-1,,,include without modification,none,,,,,,NA
GB022,GB022c,"Are there prenominal articles, if there are articles at all?",FALSE,TRUE,TRUE,L-ART-4,S-ART-2,S-ART-2,word order,recode group 5 (simple conditioning),if articles present,GB550m == 1,,,,,Grammar_linear_order
GB023,GB023,Are there prenominal articles?,TRUE,FALSE,FALSE,L-ART-5,L-ART-1,,,include without modification,none,,,,,,NA
GB023,GB023c,"Are there postnominal articles, if there are articles at all?",FALSE,TRUE,TRUE,L-ART-5,S-ART-2,S-ART-2,word order,recode group 5 (simple conditioning),if articles present,GB550m == 1,,,,,Grammar_linear_order
GB024,GB024,What is the order of numeral and noun in the NP?,TRUE,FALSE,FALSE,D-WOO-1,,,,include without modification,none,,,,,,NA
GB024,GB024e,What is the order of numeral and noun in the NP (excluding the intermediate/mixed state)?,FALSE,TRUE,TRUE,D-WOO-1,S-WOO-03-O;S-WOO-03-C,S-WOO-03-C,word order,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 ?,1;2;NA;?,1-2-3-4,Grammar_linear_order
GB025,GB025,What is the order of adnominal demonstrative and noun?,TRUE,FALSE,FALSE,D-WOO-2,,,,include without modification,none,,,,,,NA
GB025,GB025e,What is the order of adnominal demonstrative and noun in the NP (excluding the intermediate/mixed state)?,FALSE,TRUE,FALSE,D-WOO-2;S-WOO-04,S-WOO-01-O,,,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 ?,1;2;NA;?,1-2-3-4,Grammar_linear_order
GB026,GB026,Can adnominal property words occur discontinuously?,TRUE,TRUE,TRUE,,S-ATT-2;S-ATT-3-O;S-ATT-3-C;S-ATT-4,S-ATT-4;S-ATT-2;S-ATT-3-C,isolating/affixing,include without modification,none,,,,,,Grammar_linear_order
GB027,GB027,Are nominal conjunction and comitative expressed by different elements?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB028,GB028,Is there a distinction between inclusive and exclusive?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB030,GB030,Is there a gender distinction in independent 3rd person pronouns?,TRUE,TRUE,TRUE,,S-PRO-GEN-1;S-PRO-GEN-2;S-GEN-1-O;S-GEN-1-C,S-GEN-1-C,,include without modification,none,,,,,,Grammatical_categories
GB031,GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,TRUE,TRUE,TRUE,,S-NUM-04-C,S-NUM-04-C,,include without modification,none,,,,,,Grammatical_categories
GB035,GB035,Are there three or more distance contrasts in demonstratives?,TRUE,TRUE,TRUE,,S-DEM-1;S-DEM-2,S-DEM-2,,include without modification,none,,,,,,Grammatical_categories
GB036,GB036,Do demonstratives show an elevation distinction?,TRUE,TRUE,TRUE,,S-DEM-1,,,include without modification,none,,,,,,Grammatical_categories
GB037,GB037,Do demonstratives show a visible-nonvisible distinction?,TRUE,TRUE,TRUE,,S-DEM-2,S-DEM-2,,include without modification,none,,,,,,Grammatical_categories
