modification.type,modification.ID,design.decision,expectation.tested,motivation.for.test,source,statistical.action.or.logging.necessary,requires.statistically.motivated.action,logging.in.known.remaining.dependencies,relative.overlap.fsmall.in.flarge.sufficient,over.19.samples.applicable.for.test,mu.plus.sigma.under.20,cohens.d.over.13,resulting.modification,relevant.features,resulting.added.features,is.added.feature.kept,resulting.removed.features,feature.1.for.test,feature.2.for.test,test,f1.equals.for.test,f1.unequals.for.test,f2.equals.for.test,f2.unequals.for.test,nr.lgs.f1,nr.lgs.f2,absolute.overlap.f1.f2,relative.overlap.fsmall.in.flarge,relative.overlap.flarge.in.fsmall,samples.disregarded.insufficient.lgs.applicable,samples.assessed,mean.d1.across.tested.samples,sd.d1.across.tested.samples,mean.plus.sd.d1.across.tested.samples,mean.d2.across.tested.samples,sd.d2.across.tested.samples,mean.plus.sd.d2.across.tested.samples,mean.baseline.1,mean.baseline.2,d1.baseline1.cohensd,d2.baseline2.cohensd,maximum.sum,minimum.cohensd,minimum.sum,maximum.cohensd
design,D-AGR-ADD,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: adnominal demonstrative agreement with the noun),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB171, GB185",GB568drm,yes,"GB171, GB185",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-AGR-APW,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: adnominal property word agreement with the noun),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB170, GB184",GB567drm,yes,"GB170, GB184",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-AGR-ART,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: article agreement with the noun) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB550m, GB172, GB186",GB569drmc,yes,"GB172, GB186",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-AGR-GEN-1,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: NP element agreement with the noun in gender/noun class) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB551m, GB170, GB171, GB172, GB198",GB560drmc,yes,"GB170, GB171, GB172",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-AGR-NUM,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: NP element agreement with the noun in number) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB184, GB185, GB186",GB561drmc,yes,"GB184, GB185, GB186",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-CAS-2,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: case for pronominal arguments) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB071, GB073, GB480m",GB549drmc,yes,"GB071, GB073",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-CAS-3,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: case for non-pronominal arguments) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB070, GB072, GB480m",GB553drmc,yes,"GB070, GB072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-CAS-4,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: case for oblique NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB072, GB073, GB480m",GB887drmc,yes,"GB072, GB073",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-CAS-5,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: case for core arguments) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB070, GB071, GB480m",GB888drmc,yes,"GB070, GB071",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-DIA-1,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: diminutive marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB314, GB187",GB701drm,yes,"GB314c, GB187",,,,,,,,,,,,,,,,,,,,,,,,,,,,
